id,name,lat,lon,tags,rating,visit_duration_min,entry_fee,open_hour,close_hour
103,Saigon Mall Cao Thắng,10.7692463,106.6829983,shopping;modern,4.4,120,0,8,18
104,Sân bóng đá Hồng Nguyên Phát,10.5370779,106.6830286,park;nature;relaxation,4.4,45,0,8,18
105,Thiên Hậu Tự,10.5355751,106.4134871,religious;culture,4.4,60,0,8,18
106,Tịnh Xá Ngọc Tâm,10.5309075,106.4290188,religious;culture,4.4,60,0,8,18
107,Chùa Đại Giác,10.7976519,106.6725295,religious;culture,4.3,60,0,8,18
108,Công Viên Dương 4,10.7361566,106.6705626,park;nature;relaxation,4.3,45,0,8,18
109,Công viên Ánh sáng,10.8397256,106.8456869,park;nature;relaxation,4.3,45,0,8,18
110,Cầu vượt Sóng Thần,10.8758821,106.7511198,viewpoint;modern,4.3,60,0,8,18
111,Di tích Lịch sử Ngã ba Giồng,10.8685215,106.5604153,park;nature;relaxation,4.3,45,0,8,18
112,Disco Travel - Du lịch Quốc Tế Khám Phá,10.8151663,106.6734822,entertainment;attraction,4.3,60,0,8,18
113,Hòa Khánh Nam,10.8487302,106.4168393,history;museum;culture,4.3,90,60000,8,18
114,Hòa Khánh Đông,10.8759072,106.4014433,history;museum;culture,4.3,90,60000,8,18
115,Hội quán 99,10.904278,106.70301,entertainment;attraction,4.3,60,0,8,18
116,Hồ Con Rùa,10.782588,106.6958888,history;landmark,4.3,60,0,8,18
117,Nhà Hàng Khách Sạn Mỹ Đình,10.5375242,106.4058578,food;restaurant,4.3,90,0,10,22
118,Nhà Hàng Lẩu Cua,10.8184378,106.6990062,food;restaurant,4.3,90,0,0,23
119,Nhà Hàng Rơm BBQ,10.7736789,106.6992615,food;restaurant,4.3,90,0,10,22
120,Quán Phở 2000,10.7718157,106.697747,food;restaurant,4.3,90,0,10,22
121,Sculpture Garden,10.7747342,106.6938172,entertainment;attraction,4.3,60,0,8,18
122,Secret Weapon Bunker Museum - Tet Offensive,10.7720281,106.6860762,history;museum;culture,4.3,90,60000,8,18
123,Street Food Ghetto,10.7676116,106.6781032,entertainment;attraction,4.3,60,0,8,18
124,Vincom Plus Nam Long Quận 7,10.743815,106.7325841,shopping;modern,4.3,120,0,8,18
125,Đài Kỷ Niệm Thích Quảng Đức,10.774988,106.6866162,history;landmark,4.3,60,0,8,18
126,Bia Liệt Sĩ Xã Vĩnh Lộc A,10.8135971,106.5777689,history;landmark,4.2,60,0,8,18
127,BĐS Đại Phú Tín,10.9746023,106.6784183,viewpoint;modern,4.2,60,0,8,18
128,Bảo Tàng TMA,10.8558846,106.6314853,history;museum;culture,4.2,90,50000,8,18
129,Bảo Tàng Áo Dài,10.8097524,106.8497582,history;museum;culture,4.2,90,50000,8,18
130,Chùa Huê Nghiêm Giảng,10.8002349,106.6898763,religious;culture,4.2,60,0,8,18
131,Công ty Tân minh,10.959635,106.7261711,history;landmark,4.2,60,0,8,18
132,"Công viên Gò Sao , Thạnh Xuân, Quận 12",10.864995,106.6656948,park;nature;relaxation,4.2,45,0,8,18
133,Công viên Hoa hồng,10.766783,106.6597925,park;nature;relaxation,4.2,45,0,8,18
134,Cảng cát lái,10.7638189,106.7934577,viewpoint;modern,4.2,60,0,8,18
135,Nhà Hàng Cham Charm,10.7245881,106.7197193,food;restaurant,4.2,90,0,10,22
136,Nhà Hàng Đồ Chay,10.8062565,106.6949559,food;restaurant,4.2,90,0,10,22
137,Nhà Thờ Vĩnh Hiệp,10.8413788,106.6435409,religious;culture,4.2,60,0,8,18
138,Pháo đài Bình Đông,10.7290793,106.6409841,history;museum;culture,4.2,90,50000,8,18
139,Phố Thương Mại,10.8449583,106.8377232,shopping;modern,4.2,120,0,8,18
140,Tanaka Tei,10.8007878,106.6434633,history;museum;culture,4.2,90,50000,8,18
141,Thiên Quang Ni Tự,10.8852917,106.7868368,religious;culture,4.2,60,0,8,18
142,Võ Văn Tần,10.8255033,106.4574649,history;landmark,4.2,60,0,8,18
143,CBES Mini Museum,10.7925945,106.7718011,history;museum;culture,4.1,90,40000,8,18
144,Chùa Giác Lâm,10.7789121,106.6492197,religious;culture,4.1,60,0,8,18
145,Chùa Hưng Long,10.7819294,106.6510647,religious;culture,4.1,60,0,8,18
146,Công viên Chung cư Phú An,10.8652789,106.6567666,park;nature;relaxation,4.1,45,0,8,18
147,Công viên Dạ Nam,10.7489187,106.6835781,park;nature;relaxation,4.1,45,0,8,18
148,Công viên thập cẩm effen,10.9008132,106.4616575,history;museum;culture,4.1,90,40000,8,18
149,Fresh Produce Street Market,10.7637304,106.6956337,entertainment;attraction,4.1,60,0,8,18
150,Hindu Temple,10.7728028,106.6956161,entertainment;attraction,4.1,60,0,8,18
151,Hội quán Tam Sơn,10.7525739,106.6617227,religious;culture,4.1,60,0,8,18
152,Khu Du Lịch Bình Qưới,10.8294989,106.7392535,entertainment;attraction,4.1,60,0,8,18
153,Lăng Trương Vĩnh Ký,10.7556868,106.6815644,history;landmark,4.1,60,0,8,18
154,Nhà Hàng Riverside Saigon,10.7728736,106.7062835,food;restaurant,4.1,90,0,10,22
155,Street Art Street (partially demolished),10.780298,106.705046,entertainment;attraction,4.1,60,0,8,18
156,Địa Đạo Phú Thọ Hòa,10.7842199,106.6312668,entertainment;attraction,4.1,60,0,8,18
157,마누라집,10.749074,106.7297303,history;landmark,4.1,60,0,8,18
158,Bún Bò Huế Gia Hội,10.78415,106.6975046,food;restaurant,4.0,90,0,10,22
159,Cactus-Garden,10.774699,106.692279,entertainment;attraction,4.0,60,0,8,18
160,Chùa Châu Long,10.5106628,106.4704466,religious;culture,4.0,60,0,8,18
161,Chùa Phước Hòa,10.7683847,106.6813131,religious;culture,4.0,60,0,8,18
162,Chùa Quan Âm,10.5369049,106.411009,religious;culture,4.0,60,0,8,18
163,Công Viên Chung cư Sunview Town,10.865904,106.7285126,park;nature;relaxation,4.0,45,0,8,18
164,Công viên Phúc An Khang,10.7269751,106.6476137,park;nature;relaxation,4.0,45,0,8,18
165,Công viên Phần mềm Quang Trung,10.8537839,106.6283152,park;nature;relaxation,4.0,45,0,8,18
166,Cầu Phú Cường,10.9809923,106.6433233,viewpoint;modern,4.0,60,0,8,18
167,Nhà Hàng Bên Sông,10.7199051,106.7117175,food;restaurant,4.0,90,0,10,22
168,Nhà Hàng Lion Beer,10.776619,106.7039069,food;restaurant,4.0,90,0,10,22
169,Nhà Hàng Ngon,10.7773464,106.6996325,food;restaurant,4.0,90,0,10,22
170,Nhà Hàng Nướng Barbecue Garden,10.7748184,106.6992492,food;restaurant,4.0,90,0,10,22
171,Nhà Hàng Tiệc Cưới Ngọc Trâm,10.8491522,106.6365739,food;restaurant,4.0,90,0,10,22
172,Nhà Hàng Vietnamese Kitchen,10.7666137,106.6922676,food;restaurant,4.0,90,0,10,22
173,Nhà Hàng Wrap&Roll,10.7732882,106.7040253,food;restaurant,4.0,90,0,10,22
174,Nhà Thiếu Nhi Quận 1,10.7849924,106.698682,history;museum;culture,4.0,90,30000,8,18
175,Trung tâm mua sắm Sài Gòn Garden,10.7733608,106.7038659,shopping;modern,4.0,120,0,8,18
176,Tượng Đức Bà Hòa Bình,10.7792301,106.6996004,history;landmark,4.0,60,0,8,18
177,Tượng đài Chiến thắng Long An,10.5594009,106.4174221,park;nature;relaxation,4.0,45,0,8,18
